LocationID,Category,AADT,AADT_Year,Latitude,Longitude
53000126,CC,1801,2019,35.806444,-84.233242
53000127,CC,3750,2019,35.82658,-84.262551
53000129,CC,423,2019,35.874729,-84.302928
53000130,CC,346,2019,35.811954,-84.369175
53000131,CC,251,2019,35.718549,-84.384977
53000133,CC,506,2019,35.639377,-84.554225
53000134,CC,574,2019,35.671547,-84.393552
53000135,CC,5259,2019,35.818896,-84.263056
53000136,CC,357,2019,35.815199,-84.268486
53000137,CC,2052,2019,35.812624,-84.275137
53000138,CC,1402,2019,35.793785,-84.283601
53000139,CC,1956,2019,35.789493,-84.267487
53000140,CC,692,2019,35.729346,-84.409887
53000141,CC,1201,2019,35.789743,-84.263531
53000142,CC,2847,2019,35.823048,-84.283044
53000143,CC,238,2019,35.793162,-84.299611
53000144,CC,890,2019,35.816617,-84.248811
53000145,CC,2157,2019,35.77238,-84.31543
53000146,CC,5518,2019,35.83198,-84.274825
53000147,CC,8565,2019,35.822,-84.272019
53000148,CC,920,2019,35.790725,-84.283908
53000149,CC,2434,2019,35.828102,-84.272163
53000150,CC,1695,2019,35.722591,-84.367507
53000151,CC,267,2019,35.881569,-84.324762
53000152,CC,601,2019,35.847589,-84.293227
53000153,CC,645,2019,35.711029,-84.275178
53000154,CC,851,2019,35.683038,-84.265887
53000155,CC,2843,2019,35.734778,-84.347306
53000156,CC,2192,2019,35.821445,-84.278863
53000157,CC,3893,2019,35.742352,-84.324634
54000001,CC,446,2019,35.62171,-84.62577
54000002,CC,3471,2019,35.61604,-84.634021
54000003,CC,330,2019,35.613689,-84.622487
54000004,CC,3790,2019,35.619129,-84.617143
54000005,CC,445,2019,35.605169,-84.570775
54000006,CC,4903,2019,35.543082,-84.661978
54000008,CC,666,2019,35.551346,-84.614592
54000011,CC,4668,2019,35.530522,-84.529333
54000012,CC,554,2019,35.549952,-84.506921
54000014,CC,527,2019,35.507425,-84.534452
54000015,CC,3210,2019,35.477241,-84.587035
54000016,CC,12882,2019,35.479149,-84.593615
54000017,CC,1294,2019,35.482903,-84.609461
54000019,CC,21743,2019,35.459383,-84.636237
54000021,CC,5120,2019,35.434565,-84.634896
54000024,CC,726,2019,35.420301,-84.575531
54000025,CC,8140,2019,35.425317,-84.557939
54000026,CC,2324,2019,35.454361,-84.572683
54000028,CC,558,2019,35.485571,-84.498263
54000030,CC,594,2019,35.433585,-84.461196
54000031,CC,9157,2019,35.431492,-84.476206
54000032,CC,847,2019,35.420994,-84.470622
54000033,CC,4201,2019,35.412485,-84.494196
54000034,CC,5616,2019,35.426289,-84.504385
54000037,CC,944,2019,35.377506,-84.665297
54000038,CC,4306,2019,35.372702,-84.699667
54000039,CC,8069,2019,35.403639,-84.674832
54000040,CC,4422,2019,35.390071,-84.703045
54000044,CC,284,2019,35.481031,-84.696119
54000045,CC,456,2019,35.488773,-84.702508
54000047,CC,1218,2019,35.478268,-84.761291
54000050,CC,671,2019,35.350871,-84.845831
54000051,CC,411,2019,35.365217,-84.74818
54000052,CC,3035,2019,35.30777,-84.755558
54000054,CC,4210,2019,35.30967,-84.706325
54000055,CC,133,2019,35.321776,-84.706884
54000057,CC,521,2019,35.326042,-84.616536
54000059,CC,9239,2019,35.341235,-84.536814
54000060,CC,2767,2019,35.273327,-84.589163
54000061,CC,363,2019,35.292388,-84.546393
54000063,CC,8254,2019,35.308003,-84.533879
54000064,CC,152,2019,35.325455,-84.511603
54000066,CC,6636,2019,35.365294,-84.513221
54000068,CC,1419,2019,35.354491,-84.428638
54000069,CC,227,2019,35.364298,-84.428776
54000070,CC,11382,2019,35.404878,-84.578723
54000071,CC,1623,2019,35.387507,-84.59159
54000072,CC,1796,2019,35.326612,-84.536009
54000073,CC,15524,2019,35.333322,-84.520305
54000074,CC,23226,2019,35.435384,-84.588475
54000075,CC,5830,2019,35.446215,-84.595606
54000076,CC,15932,2019,35.456896,-84.617067
54000077,CC,3030,2019,35.45892,-84.605877
54000078,CC,22756,2019,35.449052,-84.615848
54000079,CC,17003,2019,35.448917,-84.598959
54000080,CC,12685,2019,35.448386,-84.594642
54000081,CC,5949,2019,35.450432,-84.585546
54000082,CC,6744,2019,35.440153,-84.599891
54000084,CC,2070,2019,35.389224,-84.682414
54000085,CC,7343,2019,35.497387,-84.568713
54000087,CC,43357,2019,35.343622,-84.750405
54000088,EDL,42495,2019,35.438228,-84.676792
54000089,CC,44326,2019,35.488609,-84.625579
54000090,CC,43052,2019,35.530587,-84.583771
54000091,EDL,43466,2019,35.5732,-84.539924
54000093,CC,10402,2019,35.443401,-84.590506
54000094,CC,1317,2019,35.342768,-84.659871
54000096,CC,3412,2019,35.441754,-84.596515
54000097,CC,14137,2019,35.442018,-84.590512
54000098,CC,8759,2019,35.477195,-84.588875
54000099,CC,8816,2019,35.48931,-84.600096
